Metric,CombinationType,DTAExtension,Lemmatizer,LemmatizationType,Stopwords,CaseSensitivity,accuracy,F-MeasurePositive,F-MeasureNegative,recallPositive,precisionPositive,recallNegative,precisionNegative,recallAverage,precisionAverage,F-MeasureAverage,truePositives,falsePositives,trueNegatives,falseNegatives
polarityCd,dtaExtended_treetagger_bothLemma_enhancedFilteredList_caseSensitive,dtaExtended,treetagger,bothLemma,enhancedFilteredList,caseSensitive,"0,605","0,5536723164","0,6457399103","0,8032786885","0,4224137931","0,5179856115","0,8571428571","0,66063215","0,6397783251","0,5997061133",49,67,72,12
polarityCd,dtaExtended_treetagger_bothLemma_enhancedFilteredList_caseInSensitive,dtaExtended,treetagger,bothLemma,enhancedFilteredList,caseInSensitive,"0,6","0,5505617978","0,6396396396","0,8032786885","0,4188034188","0,5107913669","0,8554216867","0,6570350277","0,6371125528","0,5951007187",49,68,71,12
polarityCd,dtaExtended_textblob_bothLemma_enhancedList_caseInSensitive,dtaExtended,textblob,bothLemma,enhancedList,caseInSensitive,"0,595","0,5149700599","0,652360515","0,7049180328","0,4056603774","0,5467625899","0,8085106383","0,6258403114","0,6070855078","0,5836652875",43,63,76,18
polarityCd,dtaExtended_treetagger_bothLemma_enhancedList_caseInSensitive,dtaExtended,treetagger,bothLemma,enhancedList,caseInSensitive,"0,59","0,4383561644","0,6771653543","0,5245901639","0,3764705882","0,618705036","0,747826087","0,5716476","0,5621483376","0,5577607594",32,53,86,29
polarityCd,dtaExtended_treetagger_bothLemma_enhancedList_caseSensitive,dtaExtended,treetagger,bothLemma,enhancedList,caseSensitive,"0,59","0,4383561644","0,6771653543","0,5245901639","0,3764705882","0,618705036","0,747826087","0,5716476","0,5621483376","0,5577607594",32,53,86,29
polarityCd,dtaExtended_textblob_textLemma_enhancedList_caseInSensitive,dtaExtended,textblob,textLemma,enhancedList,caseInSensitive,"0,58","0,5","0,6379310345","0,6885245902","0,3925233645","0,5323741007","0,7956989247","0,6104493454","0,5941111446","0,5689655172",42,65,74,19
polarityCd,dtaExtended_textblob_textLemma_enhancedList_caseSensitive,dtaExtended,textblob,textLemma,enhancedList,caseSensitive,"0,58","0,5","0,6379310345","0,6885245902","0,3925233645","0,5323741007","0,7956989247","0,6104493454","0,5941111446","0,5689655172",42,65,74,19
polarityCd,dtaExtended_treetagger_textLemma_enhancedList_caseInSensitive,dtaExtended,treetagger,textLemma,enhancedList,caseInSensitive,"0,565","0,4387096774","0,6448979592","0,5573770492","0,3617021277","0,5683453237","0,7452830189","0,5628611865","0,5534925733","0,5418038183",34,60,79,27
polarityCd,dtaExtended_textblob_bothLemma_enhancedList_caseSensitive,dtaExtended,textblob,bothLemma,enhancedList,caseSensitive,"0,565","0,4912280702","0,6200873362","0,6885245902","0,3818181818","0,5107913669","0,7888888889","0,5996579785","0,5853535354","0,5556577032",42,68,71,19
polarityCd,dtaExtended_treetagger_textLemma_enhancedList_caseSensitive,dtaExtended,treetagger,textLemma,enhancedList,caseSensitive,"0,56","0,4285714286","0,6422764228","0,5409836066","0,3548387097","0,5683453237","0,738317757","0,5546644651","0,5465782333","0,5354239257",33,60,79,28
polarityCd,dtaExtended_textblob_bothLemma_enhancedFilteredList_caseInSensitive,dtaExtended,textblob,bothLemma,enhancedFilteredList,caseInSensitive,"0,56","0,5268817204","0,5887850467","0,8032786885","0,392","0,4532374101","0,84","0,6282580493","0,616","0,5578333836",49,76,63,12
polarityCd,dtaExtended_treetagger_textLemma_enhancedFilteredList_caseInSensitive,dtaExtended,treetagger,textLemma,enhancedFilteredList,caseInSensitive,"0,555","0,5136612022","0,5898617512","0,7704918033","0,3852459016","0,4604316547","0,8205128205","0,615461729","0,6028793611","0,5517614767",47,75,64,14
polarityCd,dtaExtended_textblob_textLemma_noStopwordList_caseInSensitive,dtaExtended,textblob,textLemma,noStopwordList,caseInSensitive,"0,555","0,5240641711","0,5821596244","0,8032786885","0,3888888889","0,4460431655","0,8378378378","0,624660927","0,6133633634","0,5531118978",49,77,62,12
polarityCd,dtaExtended_textblob_textLemma_noStopwordList_caseSensitive,dtaExtended,textblob,textLemma,noStopwordList,caseSensitive,"0,555","0,5240641711","0,5821596244","0,8032786885","0,3888888889","0,4460431655","0,8378378378","0,624660927","0,6133633634","0,5531118978",49,77,62,12
polarityCd,dtaExtended_textblob_textLemma_enhancedFilteredList_caseInSensitive,dtaExtended,textblob,textLemma,enhancedFilteredList,caseInSensitive,"0,555","0,5082872928","0,5936073059","0,7540983607","0,3833333333","0,4676258993","0,8125","0,61086213","0,5979166667","0,5509472994",46,74,65,15
polarityCd,dtaExtended_textblob_textLemma_enhancedFilteredList_caseSensitive,dtaExtended,textblob,textLemma,enhancedFilteredList,caseSensitive,"0,555","0,5082872928","0,5936073059","0,7540983607","0,3833333333","0,4676258993","0,8125","0,61086213","0,5979166667","0,5509472994",46,74,65,15
