Metric,CombinationType,DTAExtension,Lemmatizer,LemmatizationType,Stopwords,CaseSensitivity,accuracy,F-MeasurePositive,F-MeasureNegative,recallPositive,precisionPositive,recallNegative,precisionNegative,recallAverage,precisionAverage,F-MeasureAverage,truePositives,falsePositives,trueNegatives,falseNegatives
polarityGpc,dtaExtended_textblob_textLemma_noStopwordList_caseInSensitive,dtaExtended,textblob,textLemma,noStopwordList,caseInSensitive,"0,7","0,2307692308","0,8136645963","0,1475409836","0,5294117647","0,9424460432","0,7158469945","0,5449935134","0,6226293796","0,5222169135",9,8,131,52
polarityGpc,dtaExtended_textblob_textLemma_noStopwordList_caseSensitive,dtaExtended,textblob,textLemma,noStopwordList,caseSensitive,"0,7","0,2307692308","0,8136645963","0,1475409836","0,5294117647","0,9424460432","0,7158469945","0,5449935134","0,6226293796","0,5222169135",9,8,131,52
polarityGpc,noExtension_treetagger_bothLemma_noStopwordList_caseInSensitive,noExtension,treetagger,bothLemma,noStopwordList,caseInSensitive,"0,695","0,2469135802","0,8087774295","0,1639344262","0,5","0,928057554","0,7166666667","0,5459959901","0,6083333333","0,5278455049",10,10,129,51
polarityGpc,dtaExtended_treetagger_bothLemma_noStopwordList_caseInSensitive,dtaExtended,treetagger,bothLemma,noStopwordList,caseInSensitive,"0,695","0,2469135802","0,8087774295","0,1639344262","0,5","0,928057554","0,7166666667","0,5459959901","0,6083333333","0,5278455049",10,10,129,51
polarityGpc,noExtension_treetagger_bothLemma_noStopwordList_caseSensitive,noExtension,treetagger,bothLemma,noStopwordList,caseSensitive,"0,69","0,243902439","0,8050314465","0,1639344262","0,4761904762","0,9208633094","0,7150837989","0,5423988678","0,5956371375","0,5244669428",10,11,128,51
polarityGpc,dtaExtended_treetagger_textLemma_noStopwordList_caseInSensitive,dtaExtended,treetagger,textLemma,noStopwordList,caseInSensitive,"0,69","0,2051282051","0,8074534161","0,131147541","0,4705882353","0,9352517986","0,7103825137","0,5331996698","0,5904853745","0,5062908106",8,9,130,53
polarityGpc,dtaExtended_treetagger_textLemma_noStopwordList_caseSensitive,dtaExtended,treetagger,textLemma,noStopwordList,caseSensitive,"0,69","0,2051282051","0,8074534161","0,131147541","0,4705882353","0,9352517986","0,7103825137","0,5331996698","0,5904853745","0,5062908106",8,9,130,53
polarityGpc,dtaExtended_treetagger_bothLemma_noStopwordList_caseSensitive,dtaExtended,treetagger,bothLemma,noStopwordList,caseSensitive,"0,69","0,243902439","0,8050314465","0,1639344262","0,4761904762","0,9208633094","0,7150837989","0,5423988678","0,5956371375","0,5244669428",10,11,128,51
polarityGpc,dtaExtended_tokens_noLemma_noStopwordList_caseInSensitive,dtaExtended,tokens,noLemma,noStopwordList,caseInSensitive,"0,675","0,2168674699","0,7949526814","0,1475409836","0,4090909091","0,9064748201","0,7078651685","0,5270079019","0,5584780388","0,5059100756",9,13,126,52
polarityGpc,dtaExtended_tokens_noLemma_noStopwordList_caseSensitive,dtaExtended,tokens,noLemma,noStopwordList,caseSensitive,"0,675","0,2168674699","0,7949526814","0,1475409836","0,4090909091","0,9064748201","0,7078651685","0,5270079019","0,5584780388","0,5059100756",9,13,126,52
polarityGpc,noExtension_textblob_bothLemma_noStopwordList_caseSensitive,noExtension,textblob,bothLemma,noStopwordList,caseSensitive,"0,65","0,3518518519","0,7602739726","0,3114754098","0,4042553191","0,7985611511","0,7254901961","0,5550182805","0,5648727576","0,5560629122",19,28,111,42
polarityGpc,dtaExtended_textblob_bothLemma_noStopwordList_caseInSensitive,dtaExtended,textblob,bothLemma,noStopwordList,caseInSensitive,"0,65","0,3518518519","0,7602739726","0,3114754098","0,4042553191","0,7985611511","0,7254901961","0,5550182805","0,5648727576","0,5560629122",19,28,111,42
polarityGpc,dtaExtended_textblob_bothLemma_noStopwordList_caseSensitive,dtaExtended,textblob,bothLemma,noStopwordList,caseSensitive,"0,65","0,3518518519","0,7602739726","0,3114754098","0,4042553191","0,7985611511","0,7254901961","0,5550182805","0,5648727576","0,5560629122",19,28,111,42
