Lexicon,CombinationType,DTAExtension,Lemmatizer,LemmatizationType,Stopwords,CaseSensitivity,accuracy,recallPositive,precisionPositive,F-MeasurePositive,recallNegative,precisionNegative,F-MeasureNegative,recallAverage,precisionAverage,F-MeasureAverage,truePositives,falsePositives,trueNegatives,falseNegatives
polaritySentiWS,noExtension_tokens_noLemma_noStopwordList_caseInSensitive,noExtension,tokens,noLemma,noStopwordList,caseInSensitive,"0,57","0,5081967213","0,3563218391","0,4189189189","0,5971223022","0,7345132743","0,6587301587","0,5526595117","0,5454175567","0,5388245388",31,56,83,30
polaritySentiWS,noExtension_tokens_noLemma_noStopwordList_caseSensitive,noExtension,tokens,noLemma,noStopwordList,caseSensitive,"0,545","0,5081967213","0,3369565217","0,4052287582","0,5611510791","0,7222222222","0,6315789474","0,5346739002","0,529589372","0,5184038528",31,61,78,30
polaritySentiWS,noExtension_tokens_noLemma_standardList_caseInSensitive,noExtension,tokens,noLemma,standardList,caseInSensitive,"0,57","0,5081967213","0,3563218391","0,4189189189","0,5971223022","0,7345132743","0,6587301587","0,5526595117","0,5454175567","0,5388245388",31,56,83,30
polaritySentiWS,noExtension_tokens_noLemma_standardList_caseSensitive,noExtension,tokens,noLemma,standardList,caseSensitive,"0,545","0,5081967213","0,3369565217","0,4052287582","0,5611510791","0,7222222222","0,6315789474","0,5346739002","0,529589372","0,5184038528",31,61,78,30
polaritySentiWS,noExtension_tokens_noLemma_enhancedList_caseInSensitive,noExtension,tokens,noLemma,enhancedList,caseInSensitive,"0,565","0,4098360656","0,3289473684","0,3649635037","0,6330935252","0,7096774194","0,6692015209","0,5214647954","0,5193123939","0,5170825123",25,51,88,36
polaritySentiWS,noExtension_tokens_noLemma_enhancedList_caseSensitive,noExtension,tokens,noLemma,enhancedList,caseSensitive,"0,53","0,3770491803","0,2911392405","0,3285714286","0,5971223022","0,6859504132","0,6384615385","0,4870857412","0,4885448269","0,4835164835",23,56,83,38
polaritySentiWS,noExtension_tokens_noLemma_enhancedFilteredList_caseInSensitive,noExtension,tokens,noLemma,enhancedFilteredList,caseInSensitive,"0,57","0,5081967213","0,3563218391","0,4189189189","0,5971223022","0,7345132743","0,6587301587","0,5526595117","0,5454175567","0,5388245388",31,56,83,30
polaritySentiWS,noExtension_tokens_noLemma_enhancedFilteredList_caseSensitive,noExtension,tokens,noLemma,enhancedFilteredList,caseSensitive,"0,545","0,5081967213","0,3369565217","0,4052287582","0,5611510791","0,7222222222","0,6315789474","0,5346739002","0,529589372","0,5184038528",31,61,78,30
polaritySentiWS,noExtension_treetagger_textLemma_noStopwordList_caseInSensitive,noExtension,treetagger,textLemma,noStopwordList,caseInSensitive,"0,56","0,6229508197","0,3689320388","0,4634146341","0,5323741007","0,7628865979","0,6271186441","0,5776624602","0,5659093184","0,5452666391",38,65,74,23
polaritySentiWS,noExtension_treetagger_textLemma_noStopwordList_caseSensitive,noExtension,treetagger,textLemma,noStopwordList,caseSensitive,"0,555","0,606557377","0,362745098","0,4539877301","0,5323741007","0,7551020408","0,6244725738","0,5694657389","0,5589235694","0,539230152",37,65,74,24
